task,model,learning_rate,bucket,accuracy,arch,layers,heads,d_model,dropout,mlp_size,kernel,pe,ln,ne,train_steps_k,layer_order
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,0-24,0.4925,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,25-49,0.0015,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,0-24,0.497,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,25-49,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,0-24,0.3885,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,25-49,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,0-24,0.199,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,25-49,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.001lr,0.001,0-24,0.412,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.001lr,0.001,25-49,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.0001lr,0.0001,0-24,0.162,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.0001lr,0.0001,25-49,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.001lr,0.001,0-24,0.511,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.001lr,0.001,25-49,0.001,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.0001lr,0.0001,0-24,0.2235,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.0001lr,0.0001,25-49,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.001lr,0.001,0-24,0.4045,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.001lr,0.001,25-49,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.0001lr,0.0001,0-24,0.162,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.0001lr,0.0001,25-49,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d1mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,2,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.001lr,0.001,0-24,0.511,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.001lr,0.001,25-49,0.001,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.0001lr,0.0001,0-24,0.2235,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.0001lr,0.0001,25-49,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h64d2mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,2,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,0-24,0.32,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,25-49,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,0-24,0.4315,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,25-49,0.0005,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,0-24,0.3425,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,25-49,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,0-24,0.493,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,25-49,0.0025,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,0-24,0.32,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,25-49,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,0-24,0.4315,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,25-49,0.0005,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d1mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,2,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,0-24,0.3425,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,25-49,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,0-24,0.493,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,25-49,0.0025,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l2h256d2mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,2,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.001lr,0.001,0-24,0.4715,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.001lr,0.001,25-49,0.0005,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.0001lr,0.0001,0-24,0.1655,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.0001lr,0.0001,25-49,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.001lr,0.001,0-24,0.578,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.001lr,0.001,25-49,0.0025,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.0001lr,0.0001,0-24,0.2265,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.0001lr,0.0001,25-49,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.001lr,0.001,0-24,0.4715,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.001lr,0.001,25-49,0.0005,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.0001lr,0.0001,0-24,0.1655,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.0001lr,0.0001,25-49,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d1mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,4,64,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.001lr,0.001,0-24,0.578,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.001lr,0.001,25-49,0.0025,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.0001lr,0.0001,0-24,0.2265,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.0001lr,0.0001,25-49,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h64d2mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,4,64,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.001lr,0.001,0-24,0.6175,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.001lr,0.001,25-49,0.0055,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.0001lr,0.0001,0-24,0.4505,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.0001lr,0.0001,25-49,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d2mlppelnstp30k0.001lr,0.001,0-24,0.6955,lm,2,4,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d2mlppelnstp30k0.001lr,0.001,25-49,0.01,lm,2,4,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d2mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,4,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d2mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,4,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d2mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,4,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d2mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,4,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d2mlppelnstp30k0.0001lr,0.0001,0-24,0.5465,lm,2,4,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d2mlppelnstp30k0.0001lr,0.0001,25-49,0.0055,lm,2,4,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d2mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,4,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d2mlppelnstp30k0.0001lr,0.0001,75-99,0.0,lm,2,4,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d2mlppelnstp30k0.0001lr,0.0001,100-124,0.0,lm,2,4,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d2mlppelnstp30k0.0001lr,0.0001,125-149,0.0,lm,2,4,256,-,2,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.001lr,0.001,0-24,0.6175,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.001lr,0.001,25-49,0.0055,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.001lr,0.001,50-74,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.001lr,0.001,75-99,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.001lr,0.001,100-124,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.001lr,0.001,125-149,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.0001lr,0.0001,0-24,0.4505,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.0001lr,0.0001,25-49,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
addition,lm0.0reg2l4h256d1mlppelnstp30k0.0001lr,0.0001,50-74,0.0,lm,2,4,256,-,1,-,True,True,-,30,-
